location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Boston,01/01/2014 12:00:00 AM,0,0,0,0
Buffalo,01/01/2014 12:00:00 AM,0,0,0,0
Baltimore,01/01/2014 12:00:00 AM,0,0,0,0
Belize,01/01/2014 12:00:00 AM,0,0,0,0
Akron,01/01/2014 12:00:00 AM,0,0,0,0
Caracas,01/01/2014 12:00:00 AM,0.11,0.01,0.27,0
"Charleston, SC, US",01/01/2014 12:00:00 AM,0,0,0.01,0
St. Vincent & Grenadines,01/01/2014 12:00:00 AM,0.06,0,0.15,0
Cleveland,01/01/2014 12:00:00 AM,0,0,0,0
Cali,01/01/2014 12:00:00 AM,0.02,0,0.1,0
Charlotte,01/01/2014 12:00:00 AM,0,0,0,0
"Columbus, OH, US",01/01/2014 12:00:00 AM,0,0,0,0
Belo Horizonte,01/01/2014 12:00:00 AM,0.01,0,0.07,0
"Cordoba, AR",01/01/2014 12:00:00 AM,0.07,0.01,0.16,0
Cartagena,01/01/2014 12:00:00 AM,0,0,0,0
Cumana,01/01/2014 12:00:00 AM,0,0,0,0
Cincinnati,01/01/2014 12:00:00 AM,0,0,0,0
Cayman Islands,01/01/2014 12:00:00 AM,0.02,0,0.05,0
Cuba,01/01/2014 12:00:00 AM,0.05,0,0.17,0
Dallas,01/01/2014 12:00:00 AM,0,0,0,0
Dayton,01/01/2014 12:00:00 AM,0,0,0,0
Washington DC,01/01/2014 12:00:00 AM,0,0,0,0
Denver,01/01/2014 12:00:00 AM,0,0,0,0
Dominica,01/01/2014 12:00:00 AM,1,1,1,1
Des Moines,01/01/2014 12:00:00 AM,0,0,0,0
Detroit,01/01/2014 12:00:00 AM,0,0,0,0
BVI,01/01/2014 12:00:00 AM,1,1,1,1
El Paso,01/01/2014 12:00:00 AM,0,0,0,0
New York,01/01/2014 12:00:00 AM,0,0,0,0
Martinique,01/01/2014 12:00:00 AM,1,1,1,1
