location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Reunion,03/01/2015 12:00:00 AM,0.07,0.01,0.18,0
Toulon,05/01/2015 12:00:00 AM,0,0,0.03,0
Phoenix,05/01/2015 12:00:00 AM,0.1,0,0.29,0
"San Antonio, US",05/01/2015 12:00:00 AM,0.06,0,0.15,0
Managua,06/01/2014 12:00:00 AM,0.33,0.02,0.71,0
Santiago,06/01/2014 12:00:00 AM,0.04,0,0.72,0
Bastia,06/01/2014 12:00:00 AM,0.42,0,0.99,0
Pau,04/01/2014 12:00:00 AM,0.01,0,0.03,0
Fortaleza,08/01/2014 12:00:00 AM,0.03,0,0.09,0
Setif,01/01/2015 12:00:00 AM,0,0,0,0
Bilbao,03/01/2015 12:00:00 AM,0,0,0,0
Nice,05/01/2014 12:00:00 AM,0.14,0,0.91,0
Atlanta,11/01/2014 12:00:00 AM,0.09,0,0.71,0
Brest,01/01/2014 12:00:00 AM,0,0,0.02,0
Ottawa,07/01/2014 12:00:00 AM,0.14,0,0.66,0
Annaba,03/01/2014 12:00:00 AM,0,0,0.01,0
Figari,01/01/2014 12:00:00 AM,0,0,0,0
Valencia,12/01/2014 12:00:00 AM,0,0,0,0
Manila,04/01/2014 12:00:00 AM,0.01,0,0.04,0
Venice,05/01/2015 12:00:00 AM,0,0,0.02,0
Antalya,04/01/2014 12:00:00 AM,0,0,0,0
Cancun,01/01/2014 12:00:00 AM,0.03,0,0.1,0
Berlin,02/01/2014 12:00:00 AM,0,0,0,0
Detroit,07/01/2014 12:00:00 AM,0.65,0,1,0
Pau,03/01/2015 12:00:00 AM,0,0,0,0
Lyon,05/01/2014 12:00:00 AM,0.09,0,0.84,0
Bari,05/01/2014 12:00:00 AM,0,0,0.03,0
Little Rock,03/01/2015 12:00:00 AM,0,0,0.03,0
Miami,06/01/2014 12:00:00 AM,1,0.95,1,0
London,09/01/2014 12:00:00 AM,0.23,0,1,0
Zakinthos,06/01/2014 12:00:00 AM,0.05,0,0.12,0
Grenada,05/01/2015 12:00:00 AM,1,1,1,1
Clermont-Ferrand,02/01/2015 12:00:00 AM,0,0,0,0
Dubai,08/01/2014 12:00:00 AM,0.08,0,0.21,0
Alicante,06/01/2014 12:00:00 AM,0.14,0,0.45,0
Lyon,02/01/2014 12:00:00 AM,0,0,0,0
Biarritz,03/01/2014 12:00:00 AM,0,0,0,0
San Francisco,03/01/2015 12:00:00 AM,0.04,0,0.44,0
Biskra,06/01/2014 12:00:00 AM,0.04,0,0.09,0
Denver,07/01/2014 12:00:00 AM,0.37,0,0.99,0
Ibiza,09/01/2014 12:00:00 AM,0.06,0,0.31,0
Palma de Mallorca,03/01/2015 12:00:00 AM,0,0,0.03,0
Montpellier,08/01/2014 12:00:00 AM,0.72,0,1,0
Valencia,02/01/2015 12:00:00 AM,0,0,0,0
Milan,12/01/2014 12:00:00 AM,0,0,0,0
Chiapas,05/01/2015 12:00:00 AM,1,1,1,1
Tokyo,01/01/2014 12:00:00 AM,0,0,0,0
Austin,03/01/2014 12:00:00 AM,0.02,0,0.18,0
Belem,03/01/2015 12:00:00 AM,0.63,0.05,0.96,0
Rio de Janeiro,01/01/2015 12:00:00 AM,0.31,0,0.78,0
Venice,04/01/2014 12:00:00 AM,0,0,0,0
Dusseldorf,01/01/2014 12:00:00 AM,0,0,0,0
Philadelphia,10/01/2014 12:00:00 AM,0.04,0,0.44,0
Monastir,11/01/2014 12:00:00 AM,0.01,0,0.05,0
Mumbai,02/01/2014 12:00:00 AM,0.06,0,0.15,0
Moscow,04/01/2015 12:00:00 AM,0,0,0,0
Clermont-Ferrand,02/01/2014 12:00:00 AM,0,0,0,0
Valencia,11/01/2014 12:00:00 AM,0,0,0,0
Ibiza,04/01/2015 12:00:00 AM,0,0,0,0
Frankfurt,07/01/2014 12:00:00 AM,0.27,0,1,0
Monastir,08/01/2014 12:00:00 AM,0.12,0.02,0.26,0
Bastia,03/01/2014 12:00:00 AM,0.01,0,0.13,0
Montreal,05/01/2014 12:00:00 AM,0.03,0,0.32,0
Buenos Aires,08/01/2014 12:00:00 AM,0.02,0,0.21,0
St. Barthelemy,05/01/2015 12:00:00 AM,1,1,1,1
Mumbai,02/01/2015 12:00:00 AM,0.04,0,0.11,0
Valencia,06/01/2014 12:00:00 AM,0.05,0,0.29,0
Brest,03/01/2015 12:00:00 AM,0,0,0.01,0
Kiev,06/01/2014 12:00:00 AM,0.05,0,0.31,0
Cartagena,08/01/2014 12:00:00 AM,0.19,0.03,0.41,0
Oran,02/01/2015 12:00:00 AM,0,0,0,0
Batna,08/01/2014 12:00:00 AM,0.03,0.01,0.08,0
Cleveland,05/01/2015 12:00:00 AM,0,0,0.02,0
"Cordoba, AR",09/01/2014 12:00:00 AM,0.05,0,0.49,0
Figari,04/01/2015 12:00:00 AM,0,0,0,0
Algiers,07/01/2014 12:00:00 AM,0.56,0.03,0.92,0
Paphos,12/01/2014 12:00:00 AM,0,0,0,0
Pittsburgh,05/01/2015 12:00:00 AM,0,0,0.04,0
Rome,09/01/2014 12:00:00 AM,0.38,0,0.93,0
Oran,02/01/2014 12:00:00 AM,0,0,0,0
Milan,01/01/2014 12:00:00 AM,0,0,0,0
USVI,02/01/2014 12:00:00 AM,0.95,0.24,1,0
Toulon,06/01/2014 12:00:00 AM,0.37,0,0.98,0
Oran,09/01/2014 12:00:00 AM,0.03,0,0.12,0
Tokyo,02/01/2014 12:00:00 AM,0,0,0,0
Istanbul,12/01/2014 12:00:00 AM,0,0,0,0
Catania,03/01/2014 12:00:00 AM,0,0,0.01,0
Alicante,11/01/2014 12:00:00 AM,0.01,0,0.17,0
Frankfurt,10/01/2014 12:00:00 AM,0,0,0.02,0
Geneva,04/01/2015 12:00:00 AM,0,0,0,0
Bodrum,10/01/2014 12:00:00 AM,0,0,0.01,0
Antalya,11/01/2014 12:00:00 AM,0,0,0,0
Antalya,10/01/2014 12:00:00 AM,0,0,0.01,0
Milan,04/01/2015 12:00:00 AM,0,0,0,0
Dominica,05/01/2015 12:00:00 AM,1,1,1,1
Setif,05/01/2014 12:00:00 AM,0.03,0,0.15,0
Calvi,06/01/2014 12:00:00 AM,0.39,0,0.97,0
Berlin,08/01/2014 12:00:00 AM,0.12,0,0.73,0
Heraklion,05/01/2014 12:00:00 AM,0.04,0,0.23,0
Lourdes,05/01/2014 12:00:00 AM,0,0,0.06,0
Amsterdam,04/01/2014 12:00:00 AM,0,0,0.01,0
Mauritius,06/01/2014 12:00:00 AM,0.08,0,0.24,0
Beirut,03/01/2015 12:00:00 AM,0,0,0,0
Toulouse,05/01/2015 12:00:00 AM,0,0,0.03,0
Lyon,12/01/2014 12:00:00 AM,0,0,0,0
Palermo,03/01/2014 12:00:00 AM,0,0,0.01,0
Bonaire,09/01/2014 12:00:00 AM,0.97,0.58,1,0
Manila,07/01/2014 12:00:00 AM,0.05,0.01,0.13,0
Valencia,07/01/2014 12:00:00 AM,0.24,0,0.67,0
Palermo,02/01/2015 12:00:00 AM,0,0,0,0
Austin,06/01/2014 12:00:00 AM,0.37,0.05,0.7,0
Lyon,12/01/2013 12:00:00 AM,0,0,0,0
Phoenix,02/01/2014 12:00:00 AM,0.01,0,0.1,0
Annaba,11/01/2014 12:00:00 AM,0,0,0.02,0
Belo Horizonte,08/01/2014 12:00:00 AM,0.15,0,0.73,0
Caracas,05/01/2014 12:00:00 AM,0.73,0.14,0.99,0
"Jacksonville, FL, US",06/01/2014 12:00:00 AM,0.4,0.05,0.74,0
Nice,10/01/2014 12:00:00 AM,0.08,0,0.61,0
Perpignan,06/01/2014 12:00:00 AM,0.06,0,0.34,0
Toulouse,03/01/2014 12:00:00 AM,0.01,0,0.01,0
Cuba,05/01/2015 12:00:00 AM,0.94,0.29,1,0
New York,12/01/2014 12:00:00 AM,0.02,0,0,0
Valencia,01/01/2014 12:00:00 AM,0,0,0,0
Guadalajara,09/01/2014 12:00:00 AM,0.1,0,0.27,0
Tulsa,05/01/2015 12:00:00 AM,0.01,0,0.03,0
Nantes,03/01/2015 12:00:00 AM,0,0,0.01,0
Manaus,05/01/2014 12:00:00 AM,0.02,0,0.05,0
Mumbai,05/01/2015 12:00:00 AM,0.01,0,0.02,0
Kiev,08/01/2014 12:00:00 AM,0.09,0,0.47,0
Constantine,05/01/2014 12:00:00 AM,0,0,0.03,0
Madrid,02/01/2015 12:00:00 AM,0,0,0,0
Mexico City,04/01/2014 12:00:00 AM,0.03,0,0.19,0
Perpignan,01/01/2014 12:00:00 AM,0,0,0,0
Tokyo,07/01/2014 12:00:00 AM,0.11,0,0.31,0
Istanbul,02/01/2015 12:00:00 AM,0,0,0,0
Buffalo,07/01/2014 12:00:00 AM,0.3,0,0.87,0
Nassau,03/01/2014 12:00:00 AM,0.1,0,0.35,0
Nantes,01/01/2014 12:00:00 AM,0,0,0,0
Dubai,02/01/2015 12:00:00 AM,0.07,0,0.29,0
Paphos,05/01/2014 12:00:00 AM,0,0,0.02,0
Saba,03/01/2014 12:00:00 AM,0.84,0.13,1,0
Heraklion,02/01/2015 12:00:00 AM,0,0,0,0
"Columbus, OH, US",09/01/2014 12:00:00 AM,0.13,0,0.62,0
Bari,10/01/2014 12:00:00 AM,0,0,0.01,0
Phoenix,02/01/2015 12:00:00 AM,0.02,0,0.26,0
Belem,12/01/2014 12:00:00 AM,0.43,0.03,0.81,0
Anapa,05/01/2015 12:00:00 AM,0,0,0,0
Memphis,11/01/2014 12:00:00 AM,0,0,0.04,0
Lima,07/01/2014 12:00:00 AM,0.17,0,1,0
Strasbourg,01/01/2015 12:00:00 AM,0,0,0,0
Figari,03/01/2014 12:00:00 AM,0.01,0,0.06,0
Trinidad & Tobago,05/01/2015 12:00:00 AM,1,1,1,1
Strasbourg,04/01/2015 12:00:00 AM,0,0,0,0
Bordeaux,02/01/2014 12:00:00 AM,0.01,0,0.03,0
Lourdes,09/01/2014 12:00:00 AM,0.01,0,0.07,0
Moscow,01/01/2015 12:00:00 AM,0,0,0,0
Hamburg,02/01/2014 12:00:00 AM,0,0,0,0
Mikonos,07/01/2014 12:00:00 AM,0.14,0.02,0.32,0
Calvi,02/01/2015 12:00:00 AM,0,0,0.01,0
Istanbul,04/01/2015 12:00:00 AM,0.01,0,0.08,0
Monastir,01/01/2014 12:00:00 AM,0,0,0,0
Santiago,04/01/2014 12:00:00 AM,0.02,0,0.23,0
Pau,03/01/2014 12:00:00 AM,0,0,0,0
Chania,01/01/2014 12:00:00 AM,0,0,0,0
Denver,08/01/2014 12:00:00 AM,0.24,0,0.91,0
San Francisco,01/01/2015 12:00:00 AM,0.01,0,0.09,0
"Cordoba, AR",01/01/2015 12:00:00 AM,0.3,0.03,0.6,0
Anapa,03/01/2014 12:00:00 AM,0,0,0,0
Mauritius,12/01/2013 12:00:00 AM,0,0,0.01,0
Santorini,12/01/2014 12:00:00 AM,0,0,0,0
Minneapolis,05/01/2014 12:00:00 AM,0.01,0,0.15,0
San Francisco,11/01/2014 12:00:00 AM,0.09,0,0.91,0
New York,05/01/2014 12:00:00 AM,0.33,0,1,0
Santiago,04/01/2015 12:00:00 AM,0.14,0,0.91,0
Lisbon,05/01/2014 12:00:00 AM,0.01,0,0.08,0
Sharm el-Sheikh,08/01/2014 12:00:00 AM,0.06,0.01,0.13,0
Geneva,08/01/2014 12:00:00 AM,0.11,0,0.58,0
Bodrum,08/01/2014 12:00:00 AM,0.03,0,0.08,0
Venice,04/01/2015 12:00:00 AM,0,0,0,0
Mauritius,01/01/2015 12:00:00 AM,0.03,0,0.08,0
Tel Aviv,05/01/2014 12:00:00 AM,0.01,0,0.05,0
Clermont-Ferrand,04/01/2014 12:00:00 AM,0.01,0,0.04,0
Lisbon,11/01/2014 12:00:00 AM,0.03,0,0.23,0
Fort Lauderdale,03/01/2014 12:00:00 AM,0.51,0,0.99,0
Myrtle Beach,12/01/2014 12:00:00 AM,0,0,0.06,0
Sharm el-Sheikh,06/01/2014 12:00:00 AM,0.07,0.01,0.16,0
Bari,01/01/2015 12:00:00 AM,0,0,0,0
New Orleans,05/01/2015 12:00:00 AM,0.05,0,0.13,0
Mumbai,04/01/2014 12:00:00 AM,0.04,0.01,0.08,0
Tel Aviv,09/01/2014 12:00:00 AM,0.05,0,0.14,0
Valencia,03/01/2015 12:00:00 AM,0,0,0,0
Toulon,04/01/2015 12:00:00 AM,0,0,0.02,0
Tokyo,01/01/2015 12:00:00 AM,0,0,0,0
"Birmingham, US",06/01/2014 12:00:00 AM,0.33,0.03,0.67,0
Strasbourg,12/01/2014 12:00:00 AM,0,0,0,0
Ibiza,10/01/2014 12:00:00 AM,0.01,0,0.06,0
Dubai,03/01/2015 12:00:00 AM,0.07,0,0.2,0
Biarritz,10/01/2014 12:00:00 AM,0.02,0,0.24,0
Greensboro,05/01/2014 12:00:00 AM,0.01,0,0.08,0
Naples,10/01/2014 12:00:00 AM,0.01,0,0.04,0
London,04/01/2014 12:00:00 AM,0.02,0,0.08,0
Naples,01/01/2015 12:00:00 AM,0,0,0,0
Lyon,06/01/2014 12:00:00 AM,0.25,0,0.98,0
Annaba,04/01/2014 12:00:00 AM,0,0,0.02,0
Los Angeles,01/01/2014 12:00:00 AM,0.01,0,0.17,0
Frankfurt,03/01/2014 12:00:00 AM,0,0,0,0
Cincinnati,10/01/2014 12:00:00 AM,0.01,0,0.06,0
Manaus,05/01/2015 12:00:00 AM,0.02,0,0.06,0
Paris,12/01/2013 12:00:00 AM,0,0,0,0
Hamburg,08/01/2014 12:00:00 AM,0.05,0,0.42,0
Moscow,12/01/2014 12:00:00 AM,0,0,0,0
Bejaia,02/01/2015 12:00:00 AM,0,0,0,0
Paphos,06/01/2014 12:00:00 AM,0.03,0,0.09,0
Milan,10/01/2014 12:00:00 AM,0.01,0,0.05,0
Toulon,11/01/2014 12:00:00 AM,0.03,0,0.36,0
Jackson,05/01/2015 12:00:00 AM,0,0,0.01,0
Dubai,02/01/2014 12:00:00 AM,0.01,0,0.03,0
Bodrum,12/01/2013 12:00:00 AM,0,0,0,0
Lourdes,02/01/2014 12:00:00 AM,0,0,0,0
Kansas City,05/01/2015 12:00:00 AM,0,0,0.03,0
Hamburg,04/01/2015 12:00:00 AM,0,0,0,0
Palermo,01/01/2014 12:00:00 AM,0,0,0.01,0
Nantes,05/01/2014 12:00:00 AM,0.06,0,0.63,0
Alicante,02/01/2014 12:00:00 AM,0,0,0,0
Mumbai,01/01/2014 12:00:00 AM,0.04,0,0.1,0
Kos,07/01/2014 12:00:00 AM,0.21,0.03,0.45,0
Naples,11/01/2014 12:00:00 AM,0.01,0,0.09,0
Dzaoudzi,02/01/2014 12:00:00 AM,0,0,0,0
Djerba,12/01/2013 12:00:00 AM,0,0,0,0
Istanbul,05/01/2015 12:00:00 AM,0.03,0,0.19,0
London,05/01/2014 12:00:00 AM,0.04,0,0.39,0
Chania,12/01/2013 12:00:00 AM,0,0,0,0
Monterrey,09/01/2014 12:00:00 AM,0.02,0,0.16,0
New York,11/01/2014 12:00:00 AM,0.16,0,0.76,0
Marseille,11/01/2014 12:00:00 AM,0.04,0,0.57,0
Toulouse,07/01/2014 12:00:00 AM,0.68,0,1,0
New Orleans,08/01/2014 12:00:00 AM,0.68,0.17,0.95,0
Clermont-Ferrand,12/01/2014 12:00:00 AM,0,0,0,0
Manila,03/01/2014 12:00:00 AM,0.07,0.01,0.18,0
Orlando,06/01/2014 12:00:00 AM,0.97,0.52,1,0
Lisbon,12/01/2014 12:00:00 AM,0.02,0,0.17,0
Hong Kong,11/01/2014 12:00:00 AM,0.05,0,0.29,0
Antigua,02/01/2014 12:00:00 AM,0.8,0.06,1,0
Setif,03/01/2014 12:00:00 AM,0,0,0.01,0
New Orleans,09/01/2014 12:00:00 AM,0.46,0.06,0.78,0
Hong Kong,04/01/2015 12:00:00 AM,0.04,0,0.17,0
Anapa,07/01/2014 12:00:00 AM,0.16,0.01,0.39,0
Medellin,07/01/2014 12:00:00 AM,0.54,0,0.98,0
Valencia,05/01/2015 12:00:00 AM,0,0,0.04,0
Tokyo,12/01/2013 12:00:00 AM,0,0,0,0
Paphos,03/01/2014 12:00:00 AM,0,0,0,0
Denver,05/01/2015 12:00:00 AM,0,0,0,0
Pau,09/01/2014 12:00:00 AM,0.06,0,0.54,0
Palma de Mallorca,11/01/2014 12:00:00 AM,0.02,0,0.18,0
Huntsville,08/01/2014 12:00:00 AM,0.09,0.01,0.22,0
Kos,10/01/2014 12:00:00 AM,0,0,0,0
Catania,10/01/2014 12:00:00 AM,0.01,0,0.03,0
Antalya,04/01/2015 12:00:00 AM,0,0,0,0
Paris,09/01/2014 12:00:00 AM,0.58,0,1,0
Djerba,02/01/2015 12:00:00 AM,0,0,0,0
Heraklion,10/01/2014 12:00:00 AM,0.02,0,0.08,0
Austin,09/01/2014 12:00:00 AM,0.33,0.02,0.67,0
Las Vegas,05/01/2015 12:00:00 AM,0.01,0,0.08,0
Moscow,08/01/2014 12:00:00 AM,0.31,0,1,0
Palermo,04/01/2015 12:00:00 AM,0,0,0,0
Cuba,08/01/2014 12:00:00 AM,0.99,0.68,1,0
Kos,04/01/2015 12:00:00 AM,0,0,0,0
Malaga,07/01/2014 12:00:00 AM,0.05,0,0.12,0
Atlanta,03/01/2015 12:00:00 AM,0.05,0,0.61,0
Rome,01/01/2014 12:00:00 AM,0,0,0.02,0
Tel Aviv,03/01/2014 12:00:00 AM,0,0,0.04,0
Dzaoudzi,02/01/2015 12:00:00 AM,0,0,0,0
Antalya,03/01/2015 12:00:00 AM,0,0,0,0
Beirut,01/01/2014 12:00:00 AM,0,0,0,0
Memphis,08/01/2014 12:00:00 AM,0.32,0.04,0.64,0
Dusseldorf,03/01/2014 12:00:00 AM,0,0,0,0
Tel Aviv,02/01/2015 12:00:00 AM,0.01,0,0.06,0
Bejaia,01/01/2014 12:00:00 AM,0,0,0,0
Bordeaux,11/01/2014 12:00:00 AM,0.04,0,0.51,0
Frankfurt,11/01/2014 12:00:00 AM,0,0,0,0
Frankfurt,01/01/2014 12:00:00 AM,0,0,0,0
Madrid,01/01/2015 12:00:00 AM,0,0,0,0
Savannah,12/01/2014 12:00:00 AM,0,0,0,0
Bordeaux,01/01/2015 12:00:00 AM,0,0,0.01,0
Bastia,01/01/2015 12:00:00 AM,0,0,0.01,0
Mexico City,02/01/2015 12:00:00 AM,0.09,0,0.77,0
Palma de Mallorca,04/01/2015 12:00:00 AM,0,0,0.05,0
Belo Horizonte,09/01/2014 12:00:00 AM,0.14,0,0.53,0
Myrtle Beach,01/01/2014 12:00:00 AM,0,0,0.01,0
San Francisco,12/01/2014 12:00:00 AM,0.03,0,0.18,0
Rio de Janeiro,03/01/2014 12:00:00 AM,0.04,0,0.15,0
Bastia,04/01/2014 12:00:00 AM,0.04,0,0.49,0
Bordeaux,01/01/2014 12:00:00 AM,0.01,0,0.03,0
Tel Aviv,02/01/2014 12:00:00 AM,0,0,0.01,0
Memphis,03/01/2014 12:00:00 AM,0,0,0.01,0
Venice,07/01/2014 12:00:00 AM,0.24,0,0.91,0
Bilbao,12/01/2014 12:00:00 AM,0,0,0,0
Bastia,11/01/2014 12:00:00 AM,0.04,0,0.5,0
Mikonos,03/01/2015 12:00:00 AM,0,0,0,0
Oklahoma City,03/01/2015 12:00:00 AM,0,0,0.04,0
Brussels,03/01/2014 12:00:00 AM,0,0,0,0
Minneapolis,06/01/2014 12:00:00 AM,0.12,0,0.73,0
Jackson,06/01/2014 12:00:00 AM,0.15,0.02,0.35,0
Salt Lake City,08/01/2014 12:00:00 AM,0.3,0,0.72,0
Rio de Janeiro,05/01/2014 12:00:00 AM,0.07,0,0.5,0
Berlin,10/01/2014 12:00:00 AM,0,0,0.01,0
Amsterdam,09/01/2014 12:00:00 AM,0.21,0,1,0
Porto Alegre,09/01/2014 12:00:00 AM,0.03,0,0.31,0
Reunion,10/01/2014 12:00:00 AM,0.28,0,0.72,0
Frankfurt,12/01/2014 12:00:00 AM,0,0,0,0
Cuba,05/01/2014 12:00:00 AM,0.8,0.18,1,0
Hamburg,10/01/2014 12:00:00 AM,0,0,0,0
Mikonos,01/01/2015 12:00:00 AM,0,0,0,0
Venice,09/01/2014 12:00:00 AM,0.03,0,0.35,0
Bastia,08/01/2014 12:00:00 AM,0.73,0.02,0.99,0
Pau,11/01/2014 12:00:00 AM,0,0,0,0
Sharm el-Sheikh,04/01/2014 12:00:00 AM,0,0,0.02,0
Cuba,03/01/2015 12:00:00 AM,0.81,0.02,1,0
Cleveland,06/01/2014 12:00:00 AM,0.23,0,0.93,0
Toulon,01/01/2015 12:00:00 AM,0,0,0,0
Recife,11/01/2014 12:00:00 AM,0.12,0.01,0.28,0
Phoenix,07/01/2014 12:00:00 AM,0.93,0.43,1,0
Syracuse,05/01/2014 12:00:00 AM,0,0,0.05,0
Hamburg,11/01/2014 12:00:00 AM,0,0,0,0
Buenos Aires,03/01/2015 12:00:00 AM,0.54,0,1,0
Pau,02/01/2014 12:00:00 AM,0,0,0,0
Pau,04/01/2015 12:00:00 AM,0,0,0,0
Athens,07/01/2014 12:00:00 AM,0.12,0.02,0.26,0
Toulon,03/01/2014 12:00:00 AM,0.01,0,0.08,0
Salvador,06/01/2014 12:00:00 AM,0.06,0,0.28,0
Sao Paulo,01/01/2014 12:00:00 AM,0.12,0,0.42,0
Phoenix,04/01/2014 12:00:00 AM,0.06,0,0.34,0
Guadalajara,03/01/2015 12:00:00 AM,0.18,0,0.48,0
Istanbul,10/01/2014 12:00:00 AM,0.08,0,0.69,0
Oran,04/01/2014 12:00:00 AM,0.01,0,0.07,0
Brussels,10/01/2014 12:00:00 AM,0,0,0.04,0
Lyon,03/01/2014 12:00:00 AM,0.01,0,0,0
Toulon,05/01/2014 12:00:00 AM,0.14,0,0.91,0
Clermont-Ferrand,04/01/2015 12:00:00 AM,0,0,0,0
Batna,12/01/2013 12:00:00 AM,0,0,0,0
El Paso,05/01/2014 12:00:00 AM,0.01,0,0.05,0
Annaba,07/01/2014 12:00:00 AM,0.11,0,0.32,0
Rome,07/01/2014 12:00:00 AM,0.71,0.03,1,0
Frankfurt,12/01/2013 12:00:00 AM,0,0,0,0
Ottawa,05/01/2015 12:00:00 AM,0,0,0.01,0
Montpellier,05/01/2014 12:00:00 AM,0.15,0,0.98,0
Amsterdam,02/01/2015 12:00:00 AM,0,0,0,0
Panama City,05/01/2014 12:00:00 AM,0.64,0.11,0.96,0
Basel,12/01/2014 12:00:00 AM,0,0,0,0
Austin,05/01/2015 12:00:00 AM,0.04,0,0.1,0
Aruba,03/01/2014 12:00:00 AM,0.5,0.05,0.88,0
Constantine,02/01/2014 12:00:00 AM,0,0,0,0
Strasbourg,05/01/2015 12:00:00 AM,0,0,0,0
Venice,08/01/2014 12:00:00 AM,0.18,0,0.8,0
Bordeaux,08/01/2014 12:00:00 AM,0.48,0,1,0
Clermont-Ferrand,06/01/2014 12:00:00 AM,0.09,0,0.62,0
Mumbai,03/01/2015 12:00:00 AM,0.01,0,0.02,0
Tel Aviv,08/01/2014 12:00:00 AM,0.07,0,0.17,0
Dominican Rep.,03/01/2014 12:00:00 AM,0.98,0.24,1,0
Naples,05/01/2015 12:00:00 AM,0,0,0.02,0
Little Rock,05/01/2015 12:00:00 AM,0.01,0,0.03,0
Mauritius,02/01/2014 12:00:00 AM,0.01,0,0.02,0
Dusseldorf,03/01/2015 12:00:00 AM,0,0,0,0
Monroe,05/01/2015 12:00:00 AM,0,0,0,0
Naples,06/01/2014 12:00:00 AM,0.04,0,0.16,0
Venice,10/01/2014 12:00:00 AM,0.01,0,0.05,0
Rio de Janeiro,02/01/2015 12:00:00 AM,0.28,0,0.74,0
Minneapolis,05/01/2015 12:00:00 AM,0,0,0.03,0
Los Angeles,02/01/2014 12:00:00 AM,0.01,0,0.09,0
Nantes,12/01/2014 12:00:00 AM,0,0,0.01,0
Bari,04/01/2015 12:00:00 AM,0,0,0,0
Mauritius,07/01/2014 12:00:00 AM,0.28,0,0.78,0
Austin,04/01/2015 12:00:00 AM,0.05,0,0.19,0
Tampa,06/01/2014 12:00:00 AM,0.77,0.19,0.99,0
Hong Kong,05/01/2015 12:00:00 AM,0.06,0,0.16,0
Washington DC,04/01/2014 12:00:00 AM,0.01,0,0.09,0
Palermo,05/01/2014 12:00:00 AM,0.03,0,0.2,0
Strasbourg,08/01/2014 12:00:00 AM,0.07,0,0.61,0
Biskra,02/01/2015 12:00:00 AM,0,0,0,0
Kiev,05/01/2014 12:00:00 AM,0.01,0,0.13,0
Perpignan,02/01/2014 12:00:00 AM,0,0,0,0
Kos,01/01/2014 12:00:00 AM,0,0,0,0
Montreal,09/01/2014 12:00:00 AM,0.06,0,0.64,0
Akron,09/01/2014 12:00:00 AM,0.02,0,0.17,0
Constantine,12/01/2014 12:00:00 AM,0,0,0,0
Sharm el-Sheikh,12/01/2014 12:00:00 AM,0,0,0.01,0
Krasnodar,10/01/2014 12:00:00 AM,0,0,0,0
Wichita,05/01/2015 12:00:00 AM,0,0,0.01,0
Raleigh,10/01/2014 12:00:00 AM,0.06,0,0.5,0
"Charleston, SC, US",08/01/2014 12:00:00 AM,0.27,0.04,0.55,0
Anapa,12/01/2014 12:00:00 AM,0,0,0,0
Monastir,09/01/2014 12:00:00 AM,0.03,0,0.09,0
Marseille,03/01/2014 12:00:00 AM,0.03,0,0.29,0
Clermont-Ferrand,07/01/2014 12:00:00 AM,0.36,0,0.98,0
Venice,06/01/2014 12:00:00 AM,0.08,0,0.66,0
Dubai,04/01/2015 12:00:00 AM,0.17,0.03,0.35,0
Algiers,12/01/2013 12:00:00 AM,0,0,0,0
Venice,12/01/2014 12:00:00 AM,0,0,0,0
"Columbus, OH, US",10/01/2014 12:00:00 AM,0.01,0,0.08,0
Athens,12/01/2014 12:00:00 AM,0,0,0.01,0
Dubai,07/01/2014 12:00:00 AM,0.03,0,0.08,0
Istanbul,05/01/2014 12:00:00 AM,0.34,0,0.99,0
Akron,05/01/2015 12:00:00 AM,0,0,0,0
Milan,09/01/2014 12:00:00 AM,0.1,0,0.9,0
Philadelphia,05/01/2015 12:00:00 AM,0.01,0,0.11,0
Seattle,08/01/2014 12:00:00 AM,0.11,0,0.72,0
Bejaia,05/01/2014 12:00:00 AM,0.02,0,0.13,0
Lyon,08/01/2014 12:00:00 AM,0.51,0,1,0
Algiers,03/01/2015 12:00:00 AM,0,0,0.02,0
Oran,04/01/2015 12:00:00 AM,0,0,0,0
Bilbao,11/01/2014 12:00:00 AM,0,0,0,0
Barcelona,05/01/2015 12:00:00 AM,0.02,0,0.27,0
Madrid,11/01/2014 12:00:00 AM,0.01,0,0,0
Beirut,02/01/2015 12:00:00 AM,0,0,0,0
Lisbon,12/01/2013 12:00:00 AM,0,0,0,0
Manaus,09/01/2014 12:00:00 AM,0.1,0.01,0.24,0
Santiago,11/01/2014 12:00:00 AM,0.09,0,0.76,0
Monastir,06/01/2014 12:00:00 AM,0.1,0.01,0.24,0
Bastia,03/01/2015 12:00:00 AM,0,0,0.03,0
Setif,05/01/2015 12:00:00 AM,0,0,0,0
Catania,06/01/2014 12:00:00 AM,0.1,0,0.35,0
Palermo,11/01/2014 12:00:00 AM,0,0,0.03,0
Malaga,12/01/2014 12:00:00 AM,0,0,0,0
San Pedro Sula,09/01/2014 12:00:00 AM,0.17,0,0.51,0
Reunion,01/01/2015 12:00:00 AM,0.11,0.01,0.26,0
Los Angeles,04/01/2014 12:00:00 AM,0.03,0,0.32,0
Brussels,11/01/2014 12:00:00 AM,0,0,0.01,0
Oklahoma City,07/01/2014 12:00:00 AM,0.57,0.14,0.89,0
Lima,05/01/2015 12:00:00 AM,0.16,0,0.88,0
Lima,12/01/2014 12:00:00 AM,0.17,0,0.91,0
