x,y
707,10.038
708,10.202
709,10.086
710,10.4
711,10.24
712,10.988
713,10.798
714,10.656
715,10.822
716,10.91
717,11.9
718,11.102
719,11.158
720,13.88
721,15.352
722,17.559999
723,16.648001
724,16.968
725,18.450001
726,18.299999
727,17.988001
728,17.518
729,17.448
730,18.546
731,19.416
732,22.066
733,20.926001
734,20.99
735,19.552
736,18.518
737,18.968
738,19.073999
739,19.469999
740,20.408001
741,20.01
742,18.893999
743,19.546
744,19.636
745,20.059999
746,20.440001
747,20.677999
748,20.936001
749,20.129999
750,19.91
751,20.298
752,20.48
753,21.143999
754,21.85
755,21.472
756,23.436001
757,23.563999
758,23.048
759,24.018
760,24.322001
761,24.690001
762,24.454
763,25.122
764,25.98
765,25.452
766,21.809999
767,24.049999
768,23.806
769,23.936001
770,24.486
771,24.548
772,24.34
773,24.813999
774,25.878
775,26.924
776,26.348
777,26.856001
778,27.110001
779,27.6
780,28.936001
781,28.43
782,26.846001
783,30.695999
784,30.6
785,29.476
786,29.086
787,27.872
788,27.934
789,28.4
790,28.98
791,29.916
792,29.572001
793,31.42
794,32.368
795,32.844002
796,33.402
797,33.290001
798,33.212002
799,33.799999
800,33.787998
801,34.124001
802,33.986
803,33.394001
804,32.139999
805,33.273998
806,32.703999
807,32.986
808,33.108002
809,33.316002
810,33.245998
811,33.243999
812,35.584
813,36.678001
814,36.222
815,36.466
816,37.048
817,37.728001
818,38.18
819,38.674
820,38.599998
821,36.189999
822,34.661999
823,36.195999
824,36.613998
825,34.945999
826,33.756001
827,34.585999
828,35.740002
829,35.944
830,36.787998
831,36.712002
832,36.560001
833,36.68
834,34.52
835,34.307999
836,32.900002
837,34.630001
838,33.931999
839,32.571999
840,32.894001
841,31.844
842,31.988001
843,32.433998
844,35.040001
845,35.362
846,30.232
847,27.954
848,27.59
849,28.940001
850,27.559999
851,27.74
852,27.52
853,27.09
854,24.316
855,25.218
856,24.222
857,24.42
858,24.275999
859,24.167999
860,24.1
861,25.388
862,25.455999
863,24.834
864,28.940001
865,27.790001
866,28.096001
867,27.472
868,28.32
869,28.438
870,27.93
871,29.493999
872,29.530001
873,29.587999
874,30.492001
875,29.596001
876,28.143999
877,28.648001
878,28.709999
879,30.282
880,31.1
881,30.224001
882,30.488001
883,30.086
884,30.02
885,29.912001
886,29.4
887,29.872
888,30.256001
889,29.506001
890,29.143999
891,27.868
892,32.254002
893,32.826
894,34.194
895,34.001999
896,35.335999
897,35.712002
898,36.299999
899,34.919998
900,33.924
901,35.675999
902,35.046001
903,36.568001
904,36.282001
905,35.422001
906,35.745998
907,34.883999
908,35.675999
909,37.306
910,39.312
911,39.324001
912,39.063999
913,39.925999
914,39.646
915,40.740002
916,38.728001
917,41.993999
918,41.919998
919,43.529999
920,49.599998
921,50.599998
922,50.507999
923,48.962002
924,50.112
925,50.967999
926,50.532001
927,50.588001
928,49.242001
929,47.768002
930,46.882
931,48.298
932,47.557999
933,46.194
934,46.796001
935,48.007999
936,47.167999
937,46.981998
938,45.778
939,44.034
940,44.088001
941,42.591999
942,41.464001
943,42.473999
944,41.689999
945,43.394001
946,46.057999
947,45.080002
948,42.445999
949,41.504002
950,43.091999
951,43.386002
952,40.838001
953,40.756001
954,39.618
955,38.782001
956,39.821999
957,39.624001
958,40.875999
959,43.728001
960,41.598
961,41.571999
962,39.970001
963,39.702
964,41.383999
965,41.577999
966,41.546001
967,42.181999
968,43.321999
969,41.456001
970,40.27
971,35.717999
972,36.452
973,36.933998
974,38.032001
975,38.124001
976,37.717999
977,38.312
978,39.217999
979,39.060001
980,39.889999
981,40.976002
982,41.459999
983,42.312
984,42.048
985,42.048
986,41.554001
987,40.939999
988,40.987999
989,40.798
990,41.380001
991,41.633999
992,41.062
993,40.459999
994,40.894001
995,40.703999
996,41.284
997,44.922001
998,46.334
999,45.424
1000,45.557999
1001,45.917999
1002,47.444
1003,46.5
1004,47.377998
1005,47.119999
1006,47.812
1007,48.012001
1008,47.944
1009,45.886002
1010,45.849998
1011,44.532001
1012,43.813999
1013,44.612
1014,43.891998
1015,43.625999
1016,45.34
1017,43.916
1018,43.431999
1019,43.080002
1020,44.004002
1021,44.108002
1022,43.916
1023,44.498001
1024,44.708
1025,44.714001
1026,44.964001
1027,45.001999
1028,45.784
1029,44.66
1030,46.653999
1031,47.703999
1032,47.698002
1033,49.785999
1034,50.478001
1035,49.625999
1036,51.863998
1037,51.992001
1038,52.062
1039,52.276001
1040,52.402
1041,51.987999
1042,51.352001
1043,51.141998
1044,50.868
1045,51.355999
1046,52.509998
1047,52.348
1048,52.650002
1049,52.771999
1050,53.939999
1051,56.824001
1052,56.237999
1053,57.208
1054,55.478001
1055,56.422001
1056,55.695999
1057,56.220001
1058,56.062
1059,55.84
1060,50.771999
1061,52.147999
1062,52.276001
1063,52.764
1064,51.863998
1065,50.006001
1066,50.082001
1067,50.428001
1068,49.389999
1069,49.32
1070,49.051998
1071,48.535999
1072,48.048
1073,50.284
1074,51.042
1075,52.124001
1076,51.914001
1077,51.855999
1078,51.402
1079,47.382
1080,44.917999
1081,45.411999
1082,45.939999
1083,45.27
1084,45.495998
1085,46.094002
1086,47.068001
1087,46.220001
1088,47.057999
1089,47.048
1090,44.334
1091,48.554001
1092,47.619999
1093,47.731998
1094,48.34
1095,48.518002
1096,47.785999
1097,46.194
1098,48.243999
1099,48.040001
1100,48.386002
1101,50.216
1102,49.82
1103,50.34
1104,51.736
1105,50.796001
1106,51.540001
1107,49.548
1108,49.742001
1109,48.556
1110,49.344002
1111,49.618
1112,49.688
1113,48.903999
1114,46.327999
1115,46.285999
1116,45.860001
1117,45.655998
1118,44.742001
1119,42.872002
1120,43.377998
1121,41.967999
1122,41.776001
1123,41.400002
1124,40.807999
1125,39.562
1126,41.164001
1127,43.652
1128,43.858002
1129,44.52
1130,44.194
1131,44.452
1132,45.563999
1133,45.141998
1134,44.445999
1135,44.481998
1136,43.862
1137,42.018002
1138,42.256001
1139,42.189999
1140,42.124001
1141,41.332001
1142,40.442001
1143,40.849998
1144,38.537998
1145,38.374001
1146,38.613998
1147,38.386002
1148,39.313999
1149,40.324001
1150,40.257999
1151,41.310001
1152,41.195999
1153,39.874001
1154,41.040001
1155,40.720001
1156,42.188
1157,43.672001
1158,43.709999
1159,44.198002
1160,43.472
1161,43.495998
1162,43.257999
1163,42.560001
1164,40.576
1165,40.754002
1166,40.869999
1167,40.891998
1168,42.341999
1169,43.422001
1170,41.467999
1171,40.821999
